TR	Texture Replacer	 
TRJ	Trajectories	(?)
TRR	Texture Replacer Replaced	 
TS	TweakScale	
TSC	Tundra Space Center	  
TSCo	TweakScale Companion	(*)
TST	Tarsier Space Tech/Telescopes	 
TU 	Textures Unlimited	(==)
TUFX	Textures Unlimited FX	(==)
TURD	Textures Unlimited Recolour Depot	
UDKLD	UDK Large Structural Components	
US	Universal Storage	(==)
US1	Universal Storage	(==)
US2	Universal Storage II	(==)
USI	Umbra Space Industries	
USI-LS	Umbra Space Industries - Life Support	
USII	Universal Storage II	(==)
USII	Universal Storage II	 
VSR	Ven's Stock Revamp	 
WBI	Wild Blue Industries (all of them)	 
WF	Waterfall	 
x-Sci	[x] Science! Continued	(?)
